alpha.air,alpha.solid,alpha.water,p_rgh,Points_0,Points_1,Points_2,U.water_Magnitude
0,0,1,99943.3,0.0015,0.0001125,0,4.82867e-05
0,0,1,99943.3,0.0015375,0.0001125,0,6.36317e-05
0,0,1,99943.3,0.001575,0.0001125,0,8.21768e-05
0,0,1,99943.3,0.0016125,0.0001125,0,0.000101893
0,0,1,99943.3,0.00165,0.0001125,0,0.00012185
0,0,1,99943.3,0.0016875,0.0001125,0,0.000141549
0,0,1,99943.3,0.001725,0.0001125,0,0.000160671
0,0,1,99943.3,0.0017625,0.0001125,0,0.000178986
0,0,1,99943.3,0.0018,0.0001125,0,0.000196312
0,0,1,99943.3,0.0018375,0.0001125,0,0.000212502
0,0,1,99943.3,0.001875,0.0001125,0,0.000227436
0,0,1,99943.3,0.0019125,0.0001125,0,0.00024101
0,0,1,99943.3,0.00195,0.0001125,0,0.000253142
0,0,1,99943.3,0.0019875,0.0001125,0,0.000263764
0,0,1,99943.3,0.002025,0.0001125,0,0.000272824
0,0,1,99943.3,0.0020625,0.0001125,0,0.000280285
0,0,1,99943.3,0.0021,0.0001125,0,0.000286122
0,0,1,99943.3,0.0021375,0.0001125,0,0.000290324
0,0,1,99943.3,0.002175,0.0001125,0,0.000292887
0,0,1,99943.3,0.0022125,0.0001125,0,0.000293821
0,0,1,99943.3,0.00225,0.0001125,0,0.000293142
0,0,1,99943.3,0.0022875,0.0001125,0,0.000290876
0,0,1,99943.3,0.002325,0.0001125,0,0.000287052
0,0,1,99943.3,0.0023625,0.0001125,0,0.000281701
0,0,1,99943.3,0.0024,0.0001125,0,0.000274855
0,0,1,99943.3,0.0024375,0.0001125,0,0.000266534
0,0,1,99943.3,0.002475,0.0001125,0,0.000256741
0,0,1,99943.3,0.0025125,0.0001125,0,0.000245451
0,0,1,99943.3,0.00255,0.0001125,0,0.000232602
0,0,1,99943.3,0.0025875,0.0001125,0,0.000218088
0,0,1,99943.3,0.002625,0.0001125,0,0.000201781
0,0,1,99943.3,0.0026625,0.0001125,0,0.000183558
0,0,1,99943.3,0.0027,0.0001125,0,0.000163382
0,0,1,99943.3,0.0027375,0.0001125,0,0.000141383
0,0,1,99943.3,0.002775,0.0001125,0,0.000117944
0,0,1,99943.3,0.0028125,0.0001125,0,9.37103e-05
0,0,1,99943.3,0.00285,0.0001125,0,6.95164e-05
0,0,1,99943.3,0.0028875,0.0001125,0,4.63155e-05
0,0,1,99943.3,0.002925,0.0001125,0,2.53527e-05
0,0,1,99943.3,0.0029625,0.0001125,0,8.75245e-06
0,0,1,99943.3,0.003,0.0001125,0,0
0,0,1,99943.3,0,0.00015,0,0
0,0,1,99943.3,3.75e-05,0.00015,0,2.03808e-05
0,0,1,99943.3,7.5e-05,0.00015,0,4.51078e-05
0,0,1,99943.3,0.0001125,0.00015,0,7.11617e-05
0,0,1,99943.3,0.00015,0.00015,0,9.69062e-05
0,0,1,99943.3,0.0001875,0.00015,0,0.000121741
0,0,1,99943.3,0.000225,0.00015,0,0.000145464
0,0,1,99943.3,0.0002625,0.00015,0,0.000167844
0,0,1,99943.3,0.0003,0.00015,0,0.000188583
0,0,1,99943.3,0.0003375,0.00015,0,0.000207422
0,0,1,99943.3,0.000375,0.00015,0,0.00022423
0,0,1,99943.3,0.0004125,0.00015,0,0.00023901
0,0,1,99943.3,0.00045,0.00015,0,0.000251849
0,0,1,99943.3,0.0004875,0.00015,0,0.00026286
0,0,1,99943.3,0.000525,0.00015,0,0.000272146
0,0,1,99943.3,0.0005625,0.00015,0,0.000279779
0,0,1,99943.3,0.0006,0.00015,0,0.000285799
0,0,1,99943.3,0.0006375,0.00015,0,0.000290217
0,0,1,99943.3,0.000675,0.00015,0,0.000293028
0,0,1,99943.3,0.0007125,0.00015,0,0.000294216
0,0,1,99943.3,0.00075,0.00015,0,0.000293763
0,0,1,99943.3,0.0007875,0.00015,0,0.000291653
0,0,1,99943.3,0.000825,0.00015,0,0.000287874
0,0,1,99943.3,0.0008625,0.00015,0,0.000282424
0,0,1,99943.3,0.0009,0.00015,0,0.000275309
0,0,1,99943.3,0.0009375,0.00015,0,0.000266546
0,0,1,99943.3,0.000975,0.00015,0,0.000256169
0,0,1,99943.3,0.0010125,0.00015,0,0.000244223
0,0,1,99943.3,0.00105,0.00015,0,0.000230773
0,0,1,99943.3,0.0010875,0.00015,0,0.000215906
0,0,1,99943.3,0.001125,0.00015,0,0.000199735
0,0,1,99943.3,0.0011625,0.00015,0,0.000182408
0,0,1,99943.3,0.0012,0.00015,0,0.000164121
0,0,1,99943.3,0.0012375,0.00015,0,0.000145143
0,0,1,99943.3,0.001275,0.00015,0,0.000125863
0,0,1,99943.3,0.0013125,0.00015,0,0.000106887
0,0,1,99943.3,0.00135,0.00015,0,8.92322e-05
0,0,1,99943.3,0.0013875,0.00015,0,7.46777e-05
0,0,1,99943.3,0.001425,0.00015,0,6.60483e-05
0,0,1,99943.3,0.0014625,0.00015,0,6.61954e-05
0,0,1,99943.3,0.0015,0.00015,0,7.52543e-05
0,0,1,99943.3,0.0015375,0.00015,0,9.05455e-05
0,0,1,99943.3,0.001575,0.00015,0,0.000109286
0,0,1,99943.3,0.0016125,0.00015,0,0.000129688
0,0,1,99943.3,0.00165,0.00015,0,0.00015071
0,0,1,99943.3,0.0016875,0.00015,0,0.000171715
0,0,1,99943.3,0.001725,0.00015,0,0.000192284
0,0,1,99943.3,0.0017625,0.00015,0,0.000212109
0,0,1,99943.3,0.0018,0.00015,0,0.00023096
0,0,1,99943.3,0.0018375,0.00015,0,0.00024865
0,0,1,99943.3,0.001875,0.00015,0,0.000265028
0,0,1,99943.3,0.0019125,0.00015,0,0.00027997
0,0,1,99943.3,0.00195,0.00015,0,0.000293376
0,0,1,99943.3,0.0019875,0.00015,0,0.000305166
0,0,1,99943.3,0.002025,0.00015,0,0.000315278
0,0,1,99943.3,0.0020625,0.00015,0,0.000323665
0,0,1,99943.3,0.0021,0.00015,0,0.000330296
0,0,1,99943.3,0.0021375,0.00015,0,0.000335152
0,0,1,99943.3,0.002175,0.00015,0,0.000338227
0,0,1,99943.3,0.0022125,0.00015,0,0.000339527
0,0,1,99943.3,0.00225,0.00015,0,0.000339064
0,0,1,99943.3,0.0022875,0.00015,0,0.000336859
0,0,1,99943.3,0.002325,0.00015,0,0.000332941
